DateTime;BF95;Diesel;E85;DateTime;Eo 2-6;Eo1;Diesel - Total;Diesel/Eo1;FAME;HVO 100;E85;Bensin - Total;Flygbränsle m.m.;Fordonsgas - bensinekvivalent
2000-01-15;8.91;8.44;;2000-01-15;89109;317918;236299;;0;0;0;373960,00;93616,00;0
2000-02-15;9.19;8.44;;2000-02-15;115441;294321;261217;;0;0;0;400890,00;97118,00;0
2000-03-15;9.53;8.44;;2000-03-15;115566;291219;292211;;0;0;0;448677,00;82831,00;0
2000-04-15;9.19;8.44;;2000-04-15;104373;199588;260665;;0;0;0;430138,00;100901,00;0
2000-05-15;9.71;8.44;;2000-05-15;95072;141645;333172;;0;0;0;495420,00;107636,00;0
2000-06-15;10,00;8.44;;2000-06-15;77301;113684;288790;;0;0;0;485568,00;110781,00;0
2000-07-15;9.73;8.44;;2000-07-15;67096;93964;234242;;0;0;0;486814,00;91740,00;0
2000-08-15;9.66;8.44;;2000-08-15;62573;172425;333582;;0;0;0;513918,00;97062,00;0
2000-09-15;9.93;8.44;;2000-09-15;112162;217186;318412;;0;0;0;444833,00;99783,00;0
2000-10-15;9.96;;;2000-10-15;100259;213452;314987;;0;0;0;441400,00;115588,00;0
2000-11-15;9.75;8.44;;2000-11-15;113797;252991;321576;;0;0;0;427012,00;100229,00;0
2000-12-15;9.18;8.44;;2000-12-15;141140;342052;317484;;0;0;0;424171,00;94609,00;11744
2001-01-15;9.32;8.55;;2001-01-15;148200;236520;292800;;0;0;0;394431,00;111934,00;0
2001-02-15;9.57;8.66;;2001-02-15;152148;296909;270556;;0;0;0;378307,00;92770,00;0
2001-03-15;9.55;8.65;;2001-03-15;167283;310443;298782;;0;0;0;437750,00;106817,00;0
2001-04-15;10.11;8.79;;2001-04-15;119934;200760;275284;;0;0;0;444046,00;94114,00;0
2001-05-15;10.45;8.84;;2001-05-15;84941;133949;314185;;0;0;0;484373,00;105110,00;0
2001-06-15;9.9;8.98;;2001-06-15;92538;109433;285653;;0;0;0;481527,00;109907,00;0
2001-07-15;9.5;8.83;;2001-07-15;68273;78379;255206;;0;0;0;519623,00;78109,00;0
2001-08-15;9.47;8.75;;2001-08-15;108892;155805;326575;;0;0;0;518449,00;94023,00;0
2001-09-15;9.71;8.88;;2001-09-15;101447;256276;294479;;0;0;0;428922,00;101553,00;0
2001-10-15;9.11;8.74;;2001-10-15;270871;234554;331914;;0;0;0;470237,00;95659,00;0
2001-11-15;8.82;8.32;;2001-11-15;194157;265615;331539;;0;0;0;441428,00;82751,00;0
2001-12-15;8.74;8.23;;2001-12-15;127806;344103;278566;;0;0;0;419236,00;97601,00;14087
2002-01-15;8.9;8.23;;2002-01-15;168691;298975;280786;;0;0;0;398038,00;75922,00;0
2002-02-15;8.97;8.27;;2002-02-15;127023;231427;263989;;0;0;0;381578,00;85350,00;0
2002-03-15;9.33;8.43;;2002-03-15;95420;225824;298905;;0;0;0;444466,00;99609,00;0
2002-04-15;9.71;8.56;;2002-04-15;79970;184816;325888;;0;0;0;465320,00;99280,00;0
